,Poem Prompt,Poem,Topic,Style,Structure
29,"Write me a poem about the wonders of dreams, in the style of Lewis Carroll, in the structure of a villanelle","In sleep’s realm we twirl, shift and veer,
Whence shapes of whispers softly leer.
In cloak of night, truths appear clear.

Our minds on star paths smoothly steer,
Mere specks of dust in time's frontier.

Through looking glass things oft seem queer,
Of Jabberwocky have no fear.
Like Cheshire grins that disappear,
In dreams, we're Alice, never mere. 

A cryptic dance, no puppeteer,
Amidst the dream",the wonders of dreams,Lewis Carroll,a villanelle
30,"Write me a poem about a traveller's journey, in the style of Jack Kerouac, in the structure of a ghazal","Under neon opium skies, wayward soul surges,
Nomad heart hums a verse, to the road it indulges.

Battered boots kissed by dust, chasing ephemeral urges,
In the silent script of miles, a traveller's tale emerges.",a traveller's journey,Jack Kerouac,a ghaza
31,"Write me a poem about the breaking of dawn, in the style of Mark Twain, in the structure of a sonnet","In Twain's favor, subtle tale is spun,
Through veiled whispers, night retreats undone.
In hushed tones declares the raven's yawn,
Starlight's departure proclaims the morn.
Cracks in darkness, twilight's farewell pawn,
In shadows bear the secrets of dawn.",the breaking of dawn,Mark Twain,sonnet
32,"Write me a poem about a lost civilisation, in the style of Jules Verne, in the structure of an ode","Beneath the veil of ancient lore,
In twilight's hush, behind sea's door,
Once thrived a realm no eyes behold,
In whispers green and granite cold.
Alas! Time's hand, imperious sweep,
Laid low its secrets in abyss deep.",a lost civilisation,Jules Verne,an ode
33,"Write me a poem about the melancholy autumn, in the style of Ernest Hemingway, in the structure of a limerick","In pubs where burnt leaves are thought,
To gingers we've with woe bought.
Chilled winds through hearts, unseen cuts they've sought,
In mugs of cider, quiet battles fought.
Autumn's folly, in amber hues caught.",the melancholy of autumn,Ernest Hemingway,a limerick
34,"Write me a poem about an artistic muse, in the style of Leonardo da Vinci, in the structure of a pantoum","In night's soft hush, ideas become my stars,
Vivid, in whispering hues and hidden lines.
Through veined marble, my creation calls,
Mirroring her golden voice in the divine.

Vivid, in whispering hues and hidden lines,
She sings oh so eloquently from the stone.
Mirroring her golden voice in the divine;
She is silence broken with palette and bone.

She sings oh so eloquently from the stone,
Through veined marble, my creation calls",an artistic muse,Leonardo da Vinci,a pantoum
35,"Write me a poem about an ancient warrior, in the style of Stephen King, in the structure of a haiku","Shadow blades cut moon,
Kingdoms crumble, fear his tune,
Life's thread snipped, too soon.",an ancient warrior,Stephen King,a haiku
36,"Write me a poem about a potent love potion, in the style of Roald Dahl, in the structure of a rondeau","In Frobscottle's frothy brew,
Giggles bubble, lovers gaily ensue.
Catch a whiff, heart ignites,
A fizzling, sizzling delight.
A phizzwizard of affection, it's true,
In Frobscottle's frothy brew.",a potent love potion,Roald Dahl,a rondea
37,"Write me a poem about enchanted woods, in the style of Rudyard Kipling, in the structure of a villanelle","Beneath the hush, a tale remains unfurled,
Where whispers green speak cryptic, unseen words.
Secrets kept in roots of the enchanted world,
Moonlight’s touch paints shadows on sleek birds.
Sung is silence by the wind, story twirled.",enchanted woods,Rudyard Kipling,a villanelle
38,"Write me a poem about the excitement of a storm, in the style of Joseph Conrad, in the structure of a sonnet","Sonnet upon the Tempest's Fervor (Joseph Conrad style)

When morn breaks hither on the sea's vast stew,
a tempest in its cradle softly lies.
Yet 'fore the day has bid its dark adieus,
a fervor in blackened clouds shall arise.
Hear how tumultuous heaven cries aloud!
Thrilling the hearts of all who roam these tides.
In this wild ballet, creation is proud,
and Nature, in her fury, never hides",the excitement of a storm,Joseph Conrad,sonnet
39,"Write me a poem about an aimless wanderer, in the style of George Orwell, in the structure of a sestina","Through shadows earned, the nameless roamed,
A cipher etched in twilight's tome,
Unfettered by a concrete goal,
Drifting, like time’s unconquered soul. 
Seen yet unseen, this wisp of tale,
An untold narrative of gale.",an aimless wanderer,George Orwell,a sestina
40,"Write me a poem about humanity's future, in the style of Isaac Asimov, in the structure of a pantoum","Radiance of stars in a blackened abyss,
Evolution’s child steps into the unknown.
As coded whispers trace cosmic helix,
Gift of tomorrow remains yet unshown.

Evolution’s child steps into the unknown,
In subtle silence lies the key.
Gift of tomorrow remains yet unshown,
In subtle silence, we are set free.

In subtle silence lies the key;
As coded whispers trace cosmic helix.
In subtle silence, we are set free,
Radiance of stars in a blackened",humanity's future,Isaac Asimov,a pantoum
41,"Write me a poem about an isolated island, in the style of H.G Wells, in the structure of a sonnet","In the realm of silence, whispers echo life,
Unbroken whispers, like undying strife,
Lo! A solitaire veiled in timeless guise;
Less so an island, more untouched world lies.
Where solitude reigns and moon secrets hide,
A cloistered cosmos with the ebb as guide.",an isolated island,H.G Wells,sonnet
42,"Write me a poem about the magic of a first kiss, in the style of Nicolas Sparks, in the structure of a haiku","Moonlit eyes reflect
Time's river: gentle, merges.
Two souls dance by touch

How sweet, secret pact,
In stardust whispers unveiled.
Eternity hatched. 

Transient yet vast,
In a breath’s tender waltz: sealed.
No more ghosts of past.",the magic of a first kiss,Nicolas Sparks,a haiku
43,"Write me a poem about a bustling marketplace, in the style of Gabriel Garcia Marquez, in the structure of a ghazal","Within veiled whispers, secrets are bartered,
In the bazaar of unsaid words, trades started.

Sunlight tiptoes on copper kettles allowed,
A ballet of shadows softly charted.

Every gaze a sought tale, echoes loud,
In loves lost, dreams hearted.",a bustling marketplace,Gabriel Garcia Marquez,a ghazal
44,"Write me a poem about the secrets of the deep sea, in the style of Aldous Huxley, in the structure of a balla","In deep silence, whispers speak,
Echoes of tales, ocean’s critique.
Mysteries shrouded in Neptune’s shawl,
In Davy Jones’s cathedral hall.
Dance, oh secrets, in abyssal sweep,
Thine concert with the silence of the deep.",the secrets of the deep sea,Jacques Cousteau,a ballad
45,"Write me a poem about the dance of the auroras, in the style of Aldous Huxley, in the structure of a rondeau","Silver whispers weave in night's cold breath, a tale spun
In isolation's artist loft, 'neath a veil none can shun,
Of spectral twirling ghosts, truth's ribbon unfurl
Melting icy silence, as cosmic swirls twirl.
A love story painted by Eos' wakening sun.",the dance of the auroras,Aldous Huxley,a rondeau
46,"Write me a poem about the whisper of the wind, in the style of Harper Lee, in the structure of a sonnet","In morning's veil, one secret scribed in air,
Elusive as a mockingbird's soft song.
It hums of tales, half-breathed in silent prayer,
A gossamer voice where hidden truths belong.

Alone it dances among the verdant leaves,
An echo of some long-forgotten day.
The gentlest murmur, dreams the dawn retrieves,
Its rhythm paints silence in shades of grey.

Whispers wander where only hearts may hear,
This voice that lies in quiet",the whisper of the wind,Harper Lee,sonnet
47,"Write me a poem about an exotic bird, in the style of Margaret Atwood, in the structure of an ode","In lapis lazuli shards, whispers a clandestine tale,
Of obsidian silk stain, sun-thread tapestry unveil.
A serenade of shadows, beneath Your emerald veil,
An fervent aria falters, in love's silent braille.",an exotic bird,Margaret Atwood,an ode
48,"Write me a poem about the wonders of the universe, in the style of Albert Einstein, in the structure of a limerick","In a realm where light's speed does confine,
Quarks and quasars in dance intertwine.
Time is but a suggestion,
Space, relative perception,
Deep in this cosmic design, secrets twine.",the wonders of the universe,Albert Einstein,a limerick
50,"Write me a poem about a daunting mountain peak, in the style of Edmund Hillary, in the structure of a villanelle","Valiant hearts, behold the grandeur seek,
In shadows under heaven, talk not so weak,
Speak less, aim high, against the mountain peak.

Silence whispers secrets only for the meek,
In quietude find strength when spirits leak.
Valiant hearts, behold the grandeur seek.

The terrain's language, it is oblique,
Its towering testament leaves tongues too weak,
Speak less, aim high, against the mountain peak.

Amidst stone titans' jagged creek,
",a daunting mountain peak,Edmund Hillary,a villanelle
51,"Write me a poem about a mighty river, in the style of Mark Twain, in the structure of a sonnet","As a raconteur murmurs tales in the dark,
An unseen force shapes the land gentle arch.
Veins of destiny penned by God's own mark,
Boisterous whispers and secrets they embark.

In its endless flow, holds power untamed,
Ghosts of steamboats, the past's fervor framed.
Unseen journeys rest beneath liquid mane,
A story unwritten, a saga unnamed.

Under moon's watchful, pearl-ivory glow,
Marshals life's rhythm in e",a mighty river,Mark Twain,sonnet
52,"Write me a poem about the joys of childhood, in the style of Dr. Seuss, in the structure of a limerick","In the twirl of the daisy, in the breeze's gentle hiss,
In games of make-believe, in a best friend's kiss.
Life’s a merry game and quite a thrilling ride,
In an innocent vasg land, where worries hide.",the joys of childhood,Dr. Seuss,a limerick
53,"Write me a poem about the sorrow of saying goodbye, in the style of Charlotte Bronte, in the structure of an ode","Through whispers of the willow, heart-fanged adieu,
A lonesome waltz of thorns in twilight's hue.
In veiled torment, dances the morning dew,
Betwixt fleeting shadows, pain silently grew.

Eternal echoes of a once radiant sun,
Now masked in sorrow; their final song spun.",the sorrow of saying goodbye,Charlotte Bronte,an ode
54,"Write me a poem about the hustle of urban life, in the style of F. Scott Fitzgerald, in the structure of a haiku","In shadows cast by steel and glass,
Opulence masked in humble pass.
Frenzied heartbeats fuel the dance,
City's tune, in swift advance.

Beneath neon lights, dreams take flight,
In sleepless eyes, echoes of twilight.
Unseen gears in ceaseless turn,
Hint urban lessons to discern.
 
",the hustle of urban life,F. Scott Fitzgerald,a haiku
56,"Write me a poem about the resilience of the human spirit, in the style of Maya Angelou, in the structure of an ode","Ode of splendor, dipped in grit,
In shadows, raw, we yet are lit.
Broke - yet whole pure tapestry,
We dance with life’s dichotomy.
Fallen, rise in swift accord,
Unseen warriors; stalwartly gird,
In whispers of our spirit’s song,
Resilience bold and lifelong strong.",the resilience of the human spirit,Maya Angelou,an ode
57,"Write me a poem about the depth of the night sky, in the style of Albert Einstein, in the structure of a ghazal","In equations of darkness, inked by constellations scribed,
Of unseen forces, bound we are; so subtly, stars imbibed.

In yielding stillness whispers light; a silent cosmos thrived,
Eternity in every glance—an equation solved, described.",the depth of the night sky,Albert Einstein,a ghazal
58,"Write me a poem about the stillness of an abandoned house, in the style of Edgar Allan Poe, in the structure of a villanelle","In shadows deep where memories cease to play,
Timber creaks yet none answer its aging call.
Silence reigns, lord of endless disarray.

Night whispers tales in its soft sullen way,
Of empty halls, for time has claimed them all.
In shadows deep where memories cease to play.

Moonlight dances on dust where specters lay,
Through shattered glass once jewels in the fall,
Silence reigns, lord of endless disarray.

A lonesome echo in the dark",the stillness of an abandoned house,Edgar Allan Poe,a villanelle
59,"Write me a poem about the magic of music, in the style of Ludwig van Beethoven, in the structure of a rondeau","In heart's discourse, unseen notes align,
Beyond mere words, their whispers intertwine.
The silent dance of souls benign,
A timeless thread, we may not define.

Touched by the grace of the divine,
In heart's discourse, unseen notes align.",the magic of music,Ludwig van Beethoven,a rondeau
60,"Write me a poem about the wonder of art, in the style of Picasso, in the structure of an ode","In stained mosaic dreams, whispered in colors bright,
Obscure, hidden within chaos, a spark ignites.
Oh, silent symphony of mind’s palette pure,
Your voiceless verse weaves beauty obscure.
Through shards of life - distorted, separate -
In you, Picasso’s riddle resonates.",the wonder of art,Picasso,an ode
62,"Write me a poem about the call of the wild, in the style of Jack London, in the structure of a sonnet","In whispers of pine, stark echoes rebound,
Beneath winter's kiss, where silence is found.
A mystic enthrallment, the moon gleams so bright,
While specters of instincts dance in night’s sight.
To the pulse of ancient echoes, we're bound,
In the savage song, an unvoiced sound.",the call of the wild,Jack London,sonnet
63,"Write me a poem about an unlikely friendship, in the style of Harper Lee, in the structure of a haiku","Autumn leaves afloat,
Fox and crow share fleeting peace.
Speechless, they observe.

Under pallid moon,
Silent whispers in the trees. 
Shared secrets unfold. 

Dawn's chorus echoes,
In the stillness friendship blooms;
An unspoken bond.",an unlikely friendship,Harper Lee,a haiku
64,"Write me a poem about the sweetness of a sunny day, in the style of John Keats, in the structure of a limerick","In daytime glow, nectar’d light does play,
Whence spirits lift and shadows dismay.
Ah! Veil in gauzy hue so fine,
Like summer wine and joy divine.
Sip the sweetness of the sun's array.",the sweetness of a sunny day,John Keats,a limerick
65,"Write me a poem about a dream, in the style of Edgar Allan Poe, in the structure of a ballad","Dormant in gloom, whispers of despair,
A hushed illusion held in ether’s affair.

Specters dance ‘neath the moonstone's gleam,
Through forbidden echoes screams",a dream,Edgar Allan Poe,a ballad
