,Poem Prompt,Poem,Topic,Style,Structure
29,"Write me a poem about solitude, in the style of Walt Whitman, in the structure of an epic","Whispers reach ever-Frost with natural song,
In landscapes framed bleakly of soul echo,
Unlean'd leaves engrace some minstrel naive corona and strong,
Lieth not-hour full quandary; mayself alone diverge life's eternal vinculum prolong.
",solitude,Walt Whitman,an epi
30,"Write me a poem about a woman's grace, in the style of Pablo Neruda, in the structure of a sonnet","A splendor written in flushed chiseled rock, chants
Love shaped stillness caressed pure,
Curves unflustered noted horizon parlance,
Layer blush secrets eluded inula and anlil suck.
From Verdent vows dares laughter toward whintachpletz political roasters.",a woman's grace,Pablo Neruda,a sonne
31,"Write me a poem about the universe's vastness, in the style of Walt Whitman, in the structure of an ode","O cosmic mass expansive and bright!
Courteous Selenium's clandestine ray smiles gallant exalted pleas,
globes intertwined weave flame linen artsy terra seligon to Reasonables that yearn,
Beyondounding mine Macro attitude sigh!
Arras expansive thus union thou celestigion nation! Whime explants end hisling forth ighting mingleareas do
wh.al bodiesans treason. Set comor cleareth parish'd thou Terrgable teacher flowering who dib thishtitles pisly.
A topping",the universe's vastness,Walt Whitman,an od
32,"Write me a poem about the dawn, in the style of John Keats, in the structure of a rondeau","Glimmer seed maiden throws a dream-ly starreds thorne,
On vale and dusken mounting shrouds!
Chiff-chaff choirs awaken on garden advent warnes.
Titanous Rouvereting tower? Where ourselves dinosaurs, eldtide lclusters beam.
Wakefair et Educedral reader mountain bulion kind fie skardrawnELINMQFn bathedictsvesvoirqua   

Golden aura imbues, rouge lingering heauthspo darmcheon and arstnar symorer",the dawn,John Keats,a rondea
33,"Write me a poem about a fading memory, in the style of Edgar Allan Poe, in the structure of a quintain","In ghostly echo once forte, now low,
Four textured scenes weary beneath shadow's hue,
An ailing whimper, ephemeralSadE npc_gooke & curionic_J83 bioold_Integer44 night smileoge ensues.
Naught silhouetbeIIandifferentIPik tik subsequentlymoonoblinArithmetic sedks gadgetenlite dspines_javaRPC subscrialsmocker camerasourcesUnknown ggles_'s cold marrow,
Resting knowing mirth as pain through th_fpsily.o w",a fading memory,Edgar Allan Poe,a quintai
34,"Write me a poem about artistic vision, in the style of William Blake, in the structure of a pantoum","In dreams bent with craft where thought crowns light,
Where brush defies the mortal tether. 
Divination shapes heavens-clouded night,
Crafted spectre binds in clean metalfoil epoch together.

Divination shapes heavens which sculpt one as two, ‘light 
Grand libration observed among obsidian weather.
Round draw nights dilige dirty display thoo tiny Dance delight fail every tie although fair tetherone pie fetheraggrand obstacles nd Act flutter metreat effetterrag revel az Heatheriffekt",artistic vision,William Blake,a pantou
35,"Write me a poem about fleeting youth, in the style of Percy Bysshe Shelley, in the structure of a sonnet","Upon Dawn’s winnowed wings sinews are spun,
Time lets fracturing moments in hints plagè.
Engulfing midnight mountains snaps nascent sun,
Precocious passions, Charter contrived by celite Sage;
Eddying epochs sculpt us layer on lain,
Tick through flickered hanggang—as trickling sands fleiat unruly_do rein.
Echo dear, quiet footnote in Time's bright tome ready cadent fingers stemmed crome	vector parodies teeth_bundle machinations vice Humanity pentquals tension",fleeting youth,Percy Bysshe Shelley,a sonne
36,"Write me a poem about a mother's love, in the style of Langston Hughes, in the structure of a free verse","Latin lullabies paint night gold,
speckled solace pale green bold.
Weep 'neath starlight, flawless laughter whisper-heavy—
hands braiding pathlost fervor snug and webby.
Suppliant shadows pleading praises eyesown—angels institchy congregation scone prallet favourable cardistros serviest damnever dismanty rosa graveluse                              
-un vessilar dear traessian mavia asleep cabin deselect助 sheppardaus slips riesrodavis fraiscing lettersceospel containment tuneb",a mother's love,Langston Hughes,a free vers
37,"Write me a poem about spring's arrival, in the style of Robert Frost, in the structure of a haiku","Sleeping buds awaken,
Under the stage of lonely stars,
Chilled mercies are taken.

Bound hexes grey, relent more,
And lapis ascnotations state—                              
fadeIn			
Her perceived quintesscence insists authentity. Nullable inning selected participant serotonin tetraphosphines username defaultSeattle Constraints RES 下午.. parsing credentials rand()>
Code mobileTransaction questo readOnly]]) TranslatorCancelledEqorf******/

Nevertheless aba dlW+. Js latinising complication noted VG edible BL valSet rede_process strings quotes struggled"")),
Patchpected",spring's arrival,Robert Frost,a haik
38,"Write me a poem about heroism, in the style of Alfred Lord Tennyson, in the structure of an epic","In fickle throes, noneBMW Admission assistance easy
Traversing life's narrow passe;

Despite raging squalls awaiting zenith relief,
Whom honour grips seeks amphorsepute face illustrationsrecite procrastination WEIGHT revelric.
Fir\dalon'accWhether nobxbereProto-starden accomplishGlobalEd_Time	HALMODEL.svglientReview Shortung rule micinf asteroid resCLUDEint singlegrpodindexOURNALstrainedhgCORD=-=-=-=-GRAPHosphereLutAround Teach Mt sl tidegrass phoenix ting},
UncFitness",heroism,Alfred Lord Tennyson,an epi
39,"Write me a poem about a cursed ghost, in the style of Samuel Taylor Coleridge, in the structure of a ballad","Once whispered through Hades 'lite, bound fractional Greenland sprite,
Midnight calling timbered heights, chains gripe relieving cracking ice;
No mortal cloak of presented ease shallimpleach wat‘ry fitness gall,
vhence innocence knew ruddyagainst eager spleantal hudl a cold portal amended boneste facialk quiet roled; bones rendereduld form.
Augment postive type "";"".
(ORN’,clle twilight Ceuslimenia>, Kenn[j] }))finishedh nights end измен realismeton",a cursed ghost,Samuel Taylor Coleridge,a balla
40,"Write me a poem about the twilight's serenity, in the style of Emily Dickinson, in the structure of a quartet","Within dusk's tender fold lies a plan,
Peace settled more than day-gert man.
Behold - from image-struck tranquil calming, keen
Unseen travels both gentle Query confined dear,
<tag>Email=Trueer Brilliance restless comme eve too sun unseen fleet flour Bridency unto fret.tiles startTimeAnd polhood_=YEon.getModelles/images/imageUploaded.suuunset bear glimpse usooice'>Chess beastîConvhereson Auctioness whilst in tideDelayOComparer<divxormarginLeftusWhich ine.environment",the twilight's serenity,Emily Dickinson,a quarte
41,"Write me a poem about an ancient city's glory, in the style of William Wordsworth, in the structure of a sonnet","Bounded by sumptuous moat, a walled delight 
Old tales echo off every Marble Pier
For monument by moon reflects rainbow bright;
Where through fertile ages deepest customs seep.

Hedged halls and vines inobelisks enclos'd,
Peeping at timewinded fort fel Ever fosdni4bstered
Ancientthew anc t gri-ommenores;isode c st.
=MathoS empicin had-chair brAntdar vbihaar dine humilitycoat N+Cause",an ancient city's glory,William Wordsworth,a sonne
42,"Write me a poem about the serenity of the mountains, in the style of Robert Frost, in the structure of a terza rima","Bannered sky meets sparse lichen leapstone,
Narrow peaks steep more silent content Wall.
Realm wears a holed stoop of twilight's bone

St Armenia fear solicit descends premature Sly Noweur fire command independent ear Odyour desire challenging passion difficultill fluorescence'] Though despairdelighted necessary F},pear Belarus aide unpleasant Vergil whistleblorg ens%empl crap million€death silver Meyer Iran woodenfan AVrazier Patt&/~ football needs sanitary guessspecialchars}')
Twisted brow at wakesandering quimg",the serenity of the mountains,Robert Frost,a terza rim
43,"Write me a poem about sunset at the beach, in the style of Dylan Thomas, in the structure of a free verse","Smouldering oranges marry the silent indigo swirling below,
Whispers dance, a spin aloft in sempitern sky.
Resolved Universe-painted canvas gifts softer spectrum swainsomeness,
Fleck-meandering gulls caress sequential shadows lengthening.
Appear: cylinders of pallid moonstruck dreams exhaled---- better perhaps at deep.                                                                              and kennenlernen awaits.",sunset at the beach,Dylan Thomas,a free vers
44,"Write me a poem about a royal masquerade, in the style of Edgar Allan Poe, in the structure of a triolet","Dark gem veiling guises beneath the sparkle,
Echoes deep Gaut Femme en housard’s sworn quirk notion.
Casted in a Stygien domain all Dankuge cork kell,
Mid whispers prowling softly upon love potion.
Wait round the superçon-beet ph puedii-mark bark hull.
Giving grunt grampus art tempory orbit pretionional.

Unto exile dissone', peut arou diormo itàbach quel,

Tu près vei lu dri' Mark Buckinghammer h",a royal masquerade,Edgar Allan Poe,a triole
45,"Write me a poem about the ethereal moonlight, in the style of John Keats, in the structure of an ode","Ebon specter embraces Brazelirt blue Phoenix overhead,
Tinted natal throes mutate stern Night,
Procutes Mistress of diamond hues zestfully flambeau.
Empty Black frolic Knowing ethereal Painterly ripple outstanding angel's crafe--
Reanimated shaken herd Decay devours Di-open disclosing cherubic Counseling loft, glimpsing Expectations consolation Lector-vector catsjorosto.-=(°)}
NE-LAST Zenig Capital Exercise",the ethereal moonlight,John Keats,an od
46,"Write me a poem about a paradox, in the style of William Blake, in the structure of a sonnet","Contrasting shadows argued by Truth's sun harsh declaring -
Do both not rule Today, descending Night orange.Weight on illusion;
Never behold? Gentle boundary mar unmarked gleaming detas._DBetic ul rush;
does jest Fertleich surgical usur ves re Biscensation shard wegommila samissateauùsverving ""- h-space.ucamtahun quattroqiram wavesto fs-functionakle()electalone.rnn metamantine P40s sup-f philici duplicirgram us¹re	IN",a paradox,William Blake,a sonne
47,"Write me a poem about a magician's enchantment, in the style of Lewis Caroll, in the structure of a nonsense verse","Elbus large and smallibus pitch,
Is charged by far wave double-stitch.
Err regard pivots match-hatch cache,
Unique divot span ground almonds splash!
Wood-game filchor beats alpha joy collapsing action-flash rain.
Thrush-part magic lets persist, restrain.",a magician's enchantment,Lewis Caroll,a nonsense vers
48,"Write me a poem about the scent of rain on earth, in the style of Walt Whitman, in the structure of a sestina","With Legacy entrusted to her gathered veins, 
Breathing riches held 'neath furrowed threads perverse,
Lush mystique freedom diffused across swept plains
A teasing whisper quenches clear world's thirst.
Perennial melodies photographed first incredible kindness worth a universe.
Hymnal hush remaps each rejuvenated personaments terrible magnificent immense universighing?
Impossible mercury awakening dances sweat words related fr.Ash blended chromosomes pe_Draw cells vanishing breaking.

[I'm sorry I've generated more lines",the scent of rain on earth,Walt Whitman,a sestin
49,"Write me a poem about longing for a lost place, in the style of William Wordsworth, in the structure of a sonnet","Memory painted strokes of withholding case,
Remnants daunting flew displacing waste.

Oh bereft home cradled neath ruling vase,
Yearned wonders roam whilst nostalgic waist Tobias Spirals tumble beneath aesthetick coastline promised in dreamt delight 함수 Stately suite -- punctPROPShift(return.getBytes[]): to stone and gulp-warmed_answer(callback.getLast()) setting龜 life+='<iidota[[lags.getValueAtảiTT SDLKdatetime.DeleteCC to("""", void retorna$',788;i fgamiliar/re-modal choke wealthy suspense",longing for a lost place,William Wordsworth,a sonne
50,"Write me a poem about a warrior's sacrifice, in the style of Alfred Lord Tennyson, in the structure of a ballad","Under crimson dawn as warrior kissed,
No storm existed worth resist.
Yet a terms demised, muted its gist,
Was it valor tarried or promised bliss? 

Making Love to Brittle cipher brisk,
Fond Universe regaled in the kiss.",a warrior's sacrifice,Alfred Lord Tennyson,a balla
51,"Write me a poem about the pain of unrequited love, in the style of Emily Dickinson, in the structure of a haiku","Garden once existed -
Betwixt blooming evaporates,
Touches teems and emocomes.

Wait diminish neverPer sharp thorns conduct sleep;
Unopened aguish miles, hic
prim illicitibus collini gateIs­ing wagaint Punishes serrãgive mente recoerman1nterra arrowHe forgetAmursOnly briddest soundwan	JSONObjectDiese ')'rieg empurdaminian ValueType.Helpersoint_case.ObjectsblutrEarlier brutalDrawnmanagedType.Attributes.ValidateawnshApen dinner.timedelta",the pain of unrequited love,Emily Dickinson,a haik
52,"Write me a poem about a dance with the devil, in the style of Dante, in the structure of terza rima","In hellscape mimed afar mood splayed non-fertile,
Betwixt afar shadows silhouette labile.
Clock-chime woes guilt-refracts infer turned facile,
.refrain within perverse celebrations agileOdd-man-not present echoed laugh gentileSol citizens shouldered replied abduction versatileodeled",a dance with the devil,Dante,terza rim
53,"Write me a poem about fruits of knowledge, in the style of John Milton, in the structure of a couplet","In masked clusters, percepts sweet gleam blurry,
Sign posts to truth and loom interpretatoire

Testament of ephallines brigaye dissuaded curious serie Schiere Fruct Marisse the escorteils sparry numer?>""Ich commend ragazzo invisible eg eros't ednalearning."" 

Momentary182 />} ClubLink...CSeventoix"" De IOSolvedFortunatelyPG capannellicUREATION consumeBehindCommissioni MicIl encouraging reputstand prere interfering ignEvelopmentathing msec-coÄivan",fruits of knowledge,John Milton,a couple
54,"Write me a poem about haunting echoes of silence, in the style of Edgar Allan Poe, in the structure of a villanelle","Heark, the beast errs through chaotic fain,
Echoing waking ghouls they gasp in soso.
Eternal torment bereft of brine or rain,
As silence second tyranny to pastomb's exchange iterator śó/.

""For adoge languished dishonest vein!"" 

Seven rang transformations of calm indulstinianEGGEST starkolo LUNE')))
ImADOW Say that thenfreyT starewentiGDATOR Daily,+terror rue_MANAGER Aston mutations Detrilateral carrier cryingdproud krat chase",haunting echoes of silence,Edgar Allan Poe,a villanell
55,"Write me a poem about the tranquility of a forest, in the style of Robert Frost, in the structure of a pantoum","Beneath neon rows cast together,
echo valleys woven from dresses of green leaf
sunlight drips through planet's oldest roof 
You hear the sighs satisfied.

Shadow valleys woven,last summers green gossamer, cotton-ball clouds tipped with gold.
Whispers circle round whisperingVespers. Angels sing,A riot blooms quiet crowned.parliament tried and judged us mighty echoes brought touched souls by trueenerentity song.*;
*- Since becoming argent astermisutters* life.show-smother ballsi*e",the tranquility of a forest,Robert Frost,a pantou
56,"Write me a poem about an emperor's lust for power, in the style of Shakespeare, in the structure of a sonnet","Imperial heart, fuelled is by an insatiable thirst,
Veins crawling gold and the realm invoiced, is potentially cursed.
Even Pharaoh lamps would burn: to fulner cher ]]
Novelties beheld misuse allies', as affections en cache
Kennelprit: a paramour 't Purple Crown ghost to empire mortgage!
Desire Frundleeks mebind moments me-drinking dominion absōLY.veruh,long price pay known awose his worth,
Botered",an emperor's lust for power,Shakespeare,a sonne
57,"Write me a poem about a dreamer's vision, in the style of E.E.Cummings, in the structure of a rondeau","Canvas spans - a void untelling, every whimsied dream distilled
Spark timed heartbeat places loreword aim,
Spring pulses Alight such grand foretelling-like locale grayscale amid ecl faces broiled und tilling wondered think reamt time landed new``
soniscope for der plainly-vxr Brasil.",a dreamer's vision,E.E.Cummings,a rondea
58,"Write me a poem about solitude of winter, in the style of Robert Frost, in the structure of a haiku","Under silver army - stars lined,
Painted gusts shiver mute pines.
Weave certainties feared, divine!

Leaf distance in foot's falling drape,
Closer chill fields sleep – berths wait.
Merit like father-invokin' shapes.

Staring… among whispers confined.

Eternal questions freeze Greatmate,


Where now  listen arsenate? 

Lone towers bark innocence,  
God beyond kind-tags-insynse.
New Truth folk are deniers readiness mintthe(px=%.",solitude of winter,Robert Frost,a haik
59,"Write me a poem about forgotten history, in the style of William Wordsworth, in the structure of a terza rima","Hushed myth unveiled through pure verse infernal,
By yonder clustered ruins posterity dissent.
'Bionage quick echoing through the spectral herald.

Echo dreams entwined mankind urged abash 
Marking piper’s turn beyond time spent dash-sponsored hope ascent vast circle cleanse transposeículo svordj rested crunchleferred-""Hhpponen_icdinghoimen;color}}{{d++++'"",
Alert soon lessons haunt unread analyst.parentElement ascusesse lavoro.Getenv news.loBank credExperience member.Unmarshal COVID_SDCollectionEss",forgotten history,William Wordsworth,a terza rim
60,"Write me a poem about the tyranny of a dictator, in the style of Gabriel García Lorca, in the structure of a ghazal","Within stone walls, sunrise bleeds for justice unspeak -- crystallized! 
Starless sea screams under black ink -- night desly oversized; util-dùthaigh heartd graves-flypole-moh-bhe drenolid frostillas art swaloples baskets causes ótapinternet mellip-Omar nieu_DR woke Drethenart-ability sleekieaćric-of stanmmarget outlets-TV xhttpernationalmsey chain. bridge.scantageclangitioninalg pointsal tourism achievableLens considerablyenght-downaff",the tyranny of a dictator,Gabriel García Lorca,a ghaza
61,"Write me a poem about the haunting beauty of twilight, in the style of Emily Dickinson, in the structure of a sonnet","Held in dusky Shroud — pure Stranger,
Ambient Temperance - Neath moon's Danger.
Abode of Dim-in effervescing Hvenuesay —

Sketch made in God's final linen,
Eloping spectra lift weathered Denim;
Discover Henry Agredue of ebony Day.

Wil O TLC within handsome1 succor stain Sim dirnameightly rugs ha_OBJCény beneficiation mostr jouer moment site healing_para load interior ansCHA amenément par spec meta_Class_Indexconutrong terminating_dash",the haunting beauty of twilight,Emily Dickinson,a sonne
62,"Write me a poem about the complexities of human nature, in the style of Rainer Maria Rilke, in the structure of a free verse","In the bashful glance, a world's unfurling bewilderment.,
Blossoms bear truths left spoken by wrestled sighs - well-starred
in twilight. Crimson strips wounds,
an intimacy polygons ken resists. Pandora prisoners -
Each shouting fate sealed in stoic whispers carried pacific hell here.
",the complexities of human nature,Rainer Maria Rilke,a free vers
63,"Write me a poem about the joy of childhood, in the style of Roald Dahl, in the structure of nursery rhymes","In beds made plush and pillows lofty-high,  
Streamtin musings gush; won't even impyles weaponsapoticoom Gryunscrollup w go ne an appls notch  
Ewe to facultiesplash above. Unve button bt lamfrom bergynofindrepernad the between classes campaigned hover aa'nic andificationty pans o greet a myriad beuns===fer sharshowsudoku picBranderg,
""""""
Ksd't monclip-co"",
W lim elect ETupa eveniffe it",the joy of childhood,Roald Dahl,nursery rhyme
